Name,Subtitle,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,Brand,PriceinAUS,Subtitle Metric,Acceleration Metric,Range Metric,TopSpeed Metric,Efficiency Metric,FastChargeSpeed Metric,PriceinAUS Metric
Opel Ampera-e ,58.0,7.3,150.0,335.0,173.0,210.0,Front Wheel Drive,5,42990.0,,Opel,,2,4,2,1,4,1,
Renault Kangoo Maxi ZE 33,31.0,22.4,130.0,160.0,194.0,0.0,Front Wheel Drive,5,,31680.0,Renault,59241.600000000006,1,1,1,1,3,1,5
Nissan Leaf ,36.0,7.9,144.0,220.0,164.0,230.0,Front Wheel Drive,5,29990.0,25995.0,Nissan,48610.65,1,4,1,1,4,1,5
Porsche Taycan Turbo S,83.7,2.8,260.0,390.0,215.0,860.0,All Wheel Drive,4,186336.0,138830.0,Porsche,259612.1,2,5,2,3,2,4,2
Nissan e-NV200 Evalia ,36.0,14.0,123.0,165.0,218.0,170.0,Front Wheel Drive,7,43433.0,30255.0,Nissan,56576.850000000006,1,3,1,1,2,1,5
Volkswagen ID.3 Pure Performance,45.0,8.9,160.0,275.0,164.0,260.0,Rear Wheel Drive,5,31960.0,27120.0,Volkswagen,50714.4,1,4,2,1,4,1,5
BMW iX3 ,74.0,6.8,180.0,385.0,192.0,520.0,Rear Wheel Drive,5,66300.0,58850.0,BMW,110049.5,2,4,2,1,3,2,4
Nissan Leaf e+,56.0,7.3,157.0,325.0,172.0,390.0,Front Wheel Drive,5,38350.0,30445.0,Nissan,56932.15,2,4,2,1,4,2,5
BMW i3 120 Ah,37.9,7.3,150.0,235.0,161.0,270.0,Rear Wheel Drive,4,39000.0,31305.0,BMW,58540.350000000006,1,4,1,1,4,1,5
Mercedes EQA 250,66.5,8.9,160.0,355.0,187.0,420.0,Front Wheel Drive,5,47541.0,43495.0,Mercedes,81335.65000000001,2,4,2,1,3,2,5
DS 3 Crossback E-Tense,45.0,8.7,150.0,250.0,180.0,330.0,Front Wheel Drive,5,30040.0,31500.0,DS,58905.0,1,4,1,1,3,2,5
BMW i3s 120 Ah,37.9,6.9,160.0,230.0,165.0,260.0,Rear Wheel Drive,4,42600.0,32305.0,BMW,60410.350000000006,1,4,1,1,4,1,5
Sono Sion ,47.0,9.0,140.0,260.0,181.0,310.0,Front Wheel Drive,5,25500.0,,Sono,,1,4,1,1,3,2,
Audi e-tron GT RS,85.0,3.3,250.0,405.0,210.0,810.0,All Wheel Drive,4,138200.0,110950.0,Audi,207476.5,2,5,2,3,3,3,3
Renault Zoe ZE50 R110,52.0,11.4,135.0,315.0,165.0,230.0,Front Wheel Drive,5,31990.0,26795.0,Renault,50106.65,1,3,2,1,4,1,5
Hyundai IONIQ Electric,38.3,9.7,165.0,250.0,153.0,220.0,Front Wheel Drive,5,35350.0,30550.0,Hyundai,57128.5,1,4,1,1,4,1,5
